BANDERA;(Varios elementos);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
FECHA;FARMACIA;Meta 1 $$;;;;;;;;;;;;;;
3/4/2026;BARRACAS; $ 8.339.248 ;;;;;;;;;;;;;;
3/4/2026;BECCAR; $ 17.919.305 ;;;;;;;;;;;;;;
3/4/2026;BELGRANO; $ -   ;;;;;;;;;;;;;;
3/4/2026;BELGRANO II; $ -   ;;;;;;;;;;;;;;
3/4/2026;BELGRANO III; $ -   ;;;;;;;;;;;;;;
3/4/2026;BELGRANO IV; $ -   ;;;;;;;;;;;;;;
3/4/2026;BELGRANO V; $ 12.895.506 ;;;;;;;;;;;;;;
3/4/2026;BELGRANO VI; $ 7.205.790 ;;;;;;;;;;;;;;
3/4/2026;BELGRANO VII - Danesa; $ 33.119.945 ;;;;;;;;;;;;;;
3/4/2026;BELGRANO VIII; $ -   ;;;;;;;;;;;;;;
3/4/2026;BERAZATEGUI; $ 32.703.789 ;;;;;;;;;;;;;;
3/4/2026;BERAZATEGUI II; $ 12.492.921 ;;;;;;;;;;;;;;
3/4/2026;Boedo; $ 3.086.676 ;;;;;;;;;;;;;;
3/4/2026;CABALLITO; $ 27.701.669 ;;;;;;;;;;;;;;
3/4/2026;CABALLITO II; $ -   ;;;;;;;;;;;;;;
3/4/2026;CABALLITO III; $ -   ;;;;;;;;;;;;;;
3/4/2026;CABALLITO IV; $ 12.627.322 ;;;;;;;;;;;;;;
3/4/2026;CHACARITA; $ -   ;;;;;;;;;;;;;;
3/4/2026;DEVOTO; $ 17.491.669 ;;;;;;;;;;;;;;
3/4/2026;Devoto II; $ 10.897.157 ;;;;;;;;;;;;;;
3/4/2026;Devoto III; $ -   ;;;;;;;;;;;;;;
3/4/2026;Escobar; $ 2.206.478 ;;;;;;;;;;;;;;
3/4/2026;FLORES; $ 18.960.465 ;;;;;;;;;;;;;;
3/4/2026;GONZALEZ CATAN; $ 18.247.245 ;;;;;;;;;;;;;;
3/4/2026;GONZALEZ CATAN II; $ -   ;;;;;;;;;;;;;;
3/4/2026;GONZALEZ CATAN III; $ -   ;;;;;;;;;;;;;;
3/4/2026;ISDIN G. PACIFICO; $ 381.540 ;;;;;;;;;;;;;;
3/4/2026;ISDIN PALERMO; $ 398.135 ;;;;;;;;;;;;;;
3/4/2026;LAS CANITAS; $ 13.063.666 ;;;;;;;;;;;;;;
3/4/2026;LOREAL ALTO PALERMO; $ 1.475.425 ;;;;;;;;;;;;;;
3/4/2026;LOREAL G. PACIFICO; $ 652.944 ;;;;;;;;;;;;;;
3/4/2026;MERCEDES; $ -   ;;;;;;;;;;;;;;
3/4/2026;MICROCENTRO; $ -   ;;;;;;;;;;;;;;
3/4/2026;MICROCENTRO II; $ -   ;;;;;;;;;;;;;;
3/4/2026;MORON; $ 15.411.136 ;;;;;;;;;;;;;;
3/4/2026;NUNEZ; $ 14.935.713 ;;;;;;;;;;;;;;
3/4/2026;PADUA; $ 5.365.597 ;;;;;;;;;;;;;;
3/4/2026;PALERMO; $ 7.038.893 ;;;;;;;;;;;;;;
3/4/2026;PALERMO II; $ 6.035.470 ;;;;;;;;;;;;;;
3/4/2026;PALERMO III; $ -   ;;;;;;;;;;;;;;
3/4/2026;PALERMO IV; $ 2.043.381 ;;;;;;;;;;;;;;
3/4/2026;PARQUE CENTENARIO; $ -   ;;;;;;;;;;;;;;
3/4/2026;PARQUE PATRICIOS; $ 6.048.776 ;;;;;;;;;;;;;;
3/4/2026;PILAR; $ 5.708.931 ;;;;;;;;;;;;;;
3/4/2026;POMPEYA; $ 6.087.544 ;;;;;;;;;;;;;;
3/4/2026;QUILMES; $ 16.402.208 ;;;;;;;;;;;;;;
3/4/2026;RAMOS MEJIA; $ 13.452.041 ;;;;;;;;;;;;;;
3/4/2026;RAMOS MEJIA II; $ -   ;;;;;;;;;;;;;;
3/4/2026;RAMOS MEJIA III; $ -   ;;;;;;;;;;;;;;
3/4/2026;RECOLETA; $ -   ;;;;;;;;;;;;;;
3/4/2026;RECOLETA II; $ -   ;;;;;;;;;;;;;;
3/4/2026;RECOLETA III; $ 15.836.963 ;;;;;;;;;;;;;;
3/4/2026;RECOLETA IV; $ 12.852.323 ;;;;;;;;;;;;;;
3/4/2026;RECOLETA V; $ -   ;;;;;;;;;;;;;;
3/4/2026;RETIRO; $ -   ;;;;;;;;;;;;;;
3/4/2026;RETIRO II; $ 6.951.289 ;;;;;;;;;;;;;;
3/4/2026;SALADILLO; $ -   ;;;;;;;;;;;;;;
3/4/2026;SAN ISIDRO; $ 41.461.259 ;;;;;;;;;;;;;;
3/4/2026;SAN ISIDRO II; $ -   ;;;;;;;;;;;;;;
3/4/2026;SAN MIGUEL; $ -   ;;;;;;;;;;;;;;
3/4/2026;TRIBUNALES; $ -   ;;;;;;;;;;;;;;
