ID_Sucursal,Sucursal,Fecha,Hora,Tickets,Unidades,Neto,Saldo_Cobertura,Saldo_Cliente
47,VILLA DEL PARQUE II,2026-04-19,13,89,106,1718168.12,362017.58,994930.86
47,VILLA DEL PARQUE II,2026-04-19,14,95,136,1684229.28,286264.56,1307979.3
47,VILLA DEL PARQUE II,2026-04-19,15,101,155,1210182.67,203095.09,932458.57
49,PILAR,2026-04-19,10,59,63,1282988.9,474250.95,858359.81
49,PILAR,2026-04-19,11,101,117,1911797.71,523924.62,1012736.38
49,PILAR,2026-04-19,12,102,126,1346593.01,150830.43,1751468.94
49,PILAR,2026-04-19,13,26,25,273109.64,7531.34,223339.23
49,PILAR,2026-04-19,14,71,97,1895485.46,554779.89,2001419.63
49,PILAR,2026-04-19,15,84,99,958168.97,44625.5,1009855.24
50,ISDIN G. PACIFICO,2026-04-19,10,6,6,665867.84,233053.74,649221.15
50,ISDIN G. PACIFICO,2026-04-19,11,4,4,688048.24,225402.72,462645.52
50,ISDIN G. PACIFICO,2026-04-19,15,2,2,146890.24,51411.58,47739.33
51,LOREAL ALTO PALERMO,2026-04-19,10,1,1,56933.16,17079.95,39853.21
51,LOREAL ALTO PALERMO,2026-04-19,11,6,6,126899.94,38069.98,44414.97
51,LOREAL ALTO PALERMO,2026-04-19,12,5,5,390797.0,117239.1,160271.98
51,LOREAL ALTO PALERMO,2026-04-19,13,13,13,1191544.9,383568.42,725370.4
51,LOREAL ALTO PALERMO,2026-04-19,14,8,8,844675.56,305245.32,689970.36
51,LOREAL ALTO PALERMO,2026-04-19,15,16,16,1039544.28,333492.51,504923.66
52,ISDIN PALERMO,2026-04-19,15,3,3,290566.25,92673.74,111838.32
53,BELGRANO VII - DANESA,2026-04-19,0,19,22,344959.08,10487.61,190026.04
53,BELGRANO VII - DANESA,2026-04-19,1,17,15,158379.35,0.0,120795.56
53,BELGRANO VII - DANESA,2026-04-19,3,13,11,28448.8,0.0,21642.95
53,BELGRANO VII - DANESA,2026-04-19,4,1,1,6642.67,0.0,6642.67
53,BELGRANO VII - DANESA,2026-04-19,7,6,6,114564.5,0.0,103434.48
53,BELGRANO VII - DANESA,2026-04-19,8,17,23,1144393.87,1137879.63,3257.12
53,BELGRANO VII - DANESA,2026-04-19,9,29,36,1133483.24,630451.23,408483.47
53,BELGRANO VII - DANESA,2026-04-19,10,94,122,5077079.74,1657398.46,3452957.97
53,BELGRANO VII - DANESA,2026-04-19,11,83,88,1595473.91,386673.38,935755.38
53,BELGRANO VII - DANESA,2026-04-19,12,86,113,4542118.56,2284664.37,1762322.95
53,BELGRANO VII - DANESA,2026-04-19,13,111,142,2819559.32,1024425.87,1641661.87
53,BELGRANO VII - DANESA,2026-04-19,14,78,91,2139843.01,781973.36,894786.24
53,BELGRANO VII - DANESA,2026-04-19,15,103,122,3571982.85,1764624.72,1954215.71
53,BELGRANO VII - DANESA,2026-04-19,16,1,1,10440.73,8352.58,2088.15
56,CABALLITO IV,2026-04-19,10,123,148,2346363.46,725904.87,1375774.13
56,CABALLITO IV,2026-04-19,11,190,238,4013876.71,1253858.17,2583739.34
56,CABALLITO IV,2026-04-19,12,190,197,2757337.32,631293.01,2599067.38
56,CABALLITO IV,2026-04-19,13,79,147,1646902.94,280840.48,1508864.53
56,CABALLITO IV,2026-04-19,14,41,54,330621.04,0.08,449091.74
56,CABALLITO IV,2026-04-19,15,125,173,1124502.99,27733.46,1926396.52
60,CHACARITA,2026-04-19,10,9,9,70447.84,8021.28,51735.39
60,CHACARITA,2026-04-19,11,27,36,930542.98,433977.6,361485.98
60,CHACARITA,2026-04-19,12,24,34,310339.84,86935.36,280418.26
60,CHACARITA,2026-04-19,13,5,5,23744.61,0.0,13883.47
60,CHACARITA,2026-04-19,14,8,12,1927756.2,529852.66,698951.77
60,CHACARITA,2026-04-19,15,7,7,23779.01,0.16,19441.17
61,GONZALEZ CATAN,2026-04-19,9,37,43,915548.4,435032.77,431855.24
61,GONZALEZ CATAN,2026-04-19,10,25,26,556187.41,229487.19,286945.89
61,GONZALEZ CATAN,2026-04-19,11,67,86,1612412.92,1062381.45,477163.63
61,GONZALEZ CATAN,2026-04-19,12,73,88,1000933.88,262359.37,749443.79
61,GONZALEZ CATAN,2026-04-19,13,43,37,670036.12,267318.79,394231.09
61,GONZALEZ CATAN,2026-04-19,14,28,28,338978.85,37028.43,289406.13
61,GONZALEZ CATAN,2026-04-19,15,7,8,152154.61,80074.37,91245.59
62,MORON,2026-04-19,10,10,12,114448.64,34417.4,61826.91
62,MORON,2026-04-19,11,70,116,775754.33,180638.49,530652.05
62,MORON,2026-04-19,12,68,79,902873.73,275321.15,1034495.32
62,MORON,2026-04-19,13,44,50,390761.45,36636.6,362081.88
62,MORON,2026-04-19,14,29,36,345298.09,96168.23,280829.96
62,MORON,2026-04-19,15,15,19,169533.92,64731.3,52921.63
64,RAMOS MEJIA,2026-04-19,10,46,69,978267.28,475506.03,587520.29
64,RAMOS MEJIA,2026-04-19,11,73,87,1030791.36,282614.92,633199.14
64,RAMOS MEJIA,2026-04-19,12,64,97,637859.2,130422.68,614099.87
64,RAMOS MEJIA,2026-04-19,13,42,49,480857.64,32015.22,554771.58
64,RAMOS MEJIA,2026-04-19,14,83,119,1152475.82,299285.98,740856.01
64,RAMOS MEJIA,2026-04-19,15,43,52,558401.21,124136.5,525578.78
66,DEVOTO II,2026-04-19,10,72,86,2485233.41,1589944.88,720820.72
66,DEVOTO II,2026-04-19,11,165,255,2120520.87,616584.14,1995765.35
66,DEVOTO II,2026-04-19,12,222,264,3361230.8,601771.3,2802011.27
66,DEVOTO II,2026-04-19,13,141,177,2548948.41,668837.46,1585177.27
66,DEVOTO II,2026-04-19,14,113,130,1774328.98,492519.3,1395105.86
66,DEVOTO II,2026-04-19,15,97,114,1442653.65,273344.93,1208126.53
71,PADUA,2026-04-19,8,18,37,150986.5,11236.68,140872.45
71,PADUA,2026-04-19,9,40,56,450823.64,30056.88,431145.78
71,PADUA,2026-04-19,10,52,61,629052.82,56267.5,559900.3
71,PADUA,2026-04-19,11,56,74,499641.91,41303.53,465706.42
71,PADUA,2026-04-19,12,87,112,883695.87,140640.94,711735.2
71,PADUA,2026-04-19,13,71,91,788917.91,116707.72,710413.73
71,PADUA,2026-04-19,14,45,51,536943.13,117458.2,462139.43
71,PADUA,2026-04-19,15,50,57,782295.13,194091.6,505322.95
