ID_Sucursal,Sucursal,Ctx_Fecha_Hoy,Ctx_Dia_Del_Mes,Ctx_Dias_Totales_Mes,Ctx_Dias_Restantes,Ctx_Pct_Mes_Transcurrido,Ctx_Ultima_Franja_Hora,Acum_Tickets,Acum_Unidades,Acum_Neto,Acum_Cobertura,Acum_Cliente,Hoy_Tickets,Hoy_Unidades,Hoy_Neto,Hoy_Cobertura,Hoy_Cliente,Hora_Pico_Hoy,Hora_Pico_Hoy_Neto,Ultima_Franja_Con_Datos,Hora_Neto_Total,Hora_Tickets_Total,Hora_Unidades_Total,Ultima_Hora_Ticket,Alerta_Inactividad,SemAnt_Neto_HastaAhora,SemAnt_Tickets_HastaAhora,SemAnt_Unidades_HastaAhora,SemAnt_Neto_DiaCompleto,SemAnt_Tickets_DiaCompleto,Var_Pct_vs_SemAnt_HastaAhora,Meta_Diaria,Avance_Pct_Diario,Falta_Meta_Diaria
42,BARRACAS,2026-04-20,20,30,10,66.7,12,21006,27550,415637394.59,145946956.11,279068151.98,194.0,275.0,3759375.61,1351478.93,2621826.71,11.0,2261780.96,11.0,3759375.61,194.0,275.0,11:59:42,ACTIVA,7676399.05,353.0,440.0,24259593.830000002,1228.0,-51.0,14785872.0,25.4,11026496.0
43,BELGRANO II,2026-04-20,20,30,10,66.7,12,19358,25171,443341491.33,163293742.13,250625691.75,298.0,455.0,6327193.25,2642262.33,3005414.13,11.0,3042994.92,11.0,6332593.25,299.0,456.0,11:59:50,ACTIVA,13722376.09,532.0,634.0,32139627.619999997,1468.0,-53.9,19780013.0,32.0,13452820.0
44,VILLA BALLESTER,2026-04-20,20,30,10,66.7,12,77424,96483,1792102432.88,740188543.93,971040898.95,1042.0,1226.0,23973389.03,13107862.01,10858079.05,10.0,8795132.52,12.0,24049203.21,1043.0,1228.0,12:00:09,ACTIVA,37668225.08,1396.0,1556.0,103868900.1,4213.0,-36.4,63175162.0,37.9,39201773.0
45,VILLA BALLESTER II,2026-04-20,20,30,10,66.7,12,29249,34814,701576893.94,332155253.99,362804248.6,541.0,612.0,13880036.64,8630626.83,4778737.92,11.0,5003947.46,12.0,13946290.28,546.0,617.0,12:00:00,ACTIVA,26493155.119999997,895.0,1085.0,58351043.129999995,2283.0,-47.6,31617945.0,43.9,17737908.0
46,SAN MIGUEL,2026-04-20,20,30,10,66.7,12,11576,15097,229319959.11,106303110.55,121629977.55,202.0,277.0,3462344.06,1065046.4,2386763.89,10.0,1575032.31,11.0,3462344.06,202.0,277.0,11:59:16,ACTIVA,5995122.26,371.0,470.0,13628458.46,855.0,-42.2,10486587.0,33.0,7024243.0
47,VILLA DEL PARQUE II,2026-04-20,20,30,10,66.7,12,32009,41036,722817146.86,225058020.3,497973667.49,371.0,538.0,8023636.31,2598247.53,5130461.05,10.0,3888021.43,11.0,8039409.97,373.0,542.0,11:59:13,ACTIVA,12735732.86,575.0,691.0,40443605.85,1818.0,-37.0,25187112.0,31.9,17163476.0
48,PARQUE CENTENARIO,2026-04-20,20,30,10,66.7,12,6433,8301,134870304.04,54328122.93,77441161.98,128.0,135.0,1948418.26,480213.06,1552461.15,11.0,1164769.48,12.0,1955978.26,129.0,136.0,12:00:34,ACTIVA,4391876.23,225.0,257.0,10283447.77,580.0,-55.6,5359871.0,36.4,3411453.0
49,PILAR,2026-04-20,20,30,10,66.7,12,15873,19184,333339337.47,92853477.48,246200906.51,203.0,246.0,5396455.86,1865493.75,3610513.56,11.0,3103492.92,11.0,5396455.859999999,203.0,246.0,11:58:46,ACTIVA,6497230.0600000005,281.0,333.0,20322520.69,953.0,-16.9,10568187.0,51.1,5171731.0
50,ISDIN G. PACIFICO,2026-04-20,20,30,10,66.7,12,360,372,33939078.29,8510732.45,21562306.38,,,,,,,,,,,,,SIN DATOS,366446.33999999997,4.0,4.0,1288281.68,14.0,0.0,677623.0,0.0,
51,LOREAL ALTO PALERMO,2026-04-20,20,30,10,66.7,12,1117,1125,94272159.51,30436194.34,51146125.72,,,,,,,,,,,,,SIN DATOS,1861845.32,17.0,17.0,5389276.04,61.0,0.0,2742217.0,0.0,
52,ISDIN PALERMO,2026-04-20,20,30,10,66.7,12,339,341,29568592.04,8581889.81,12568031.2,,,,,,,,,,,,,SIN DATOS,,,,,,0.0,680388.0,0.0,
53,BELGRANO VII - DANESA,2026-04-20,20,30,10,66.7,12,34536,53036,1494084494.14,803720486.06,602317577.45,341.0,390.0,12619147.41,4915605.7,6527246.56,11.0,5635876.21,11.0,12619147.41,341.0,390.0,11:59:25,ACTIVA,30401024.75,645.0,942.0,86240826.49,1960.0,-58.5,59229957.0,21.3,46610810.0
54,PALERMO II,2026-04-20,20,30,10,66.7,12,18391,24187,309580611.85,84741765.76,205961643.73,181.0,314.0,2160152.0,457985.35,1592421.39,11.0,727261.42,11.0,2160152.0,181.0,314.0,11:58:35,ACTIVA,5422301.68,363.0,470.0,23896102.78,1084.0,-60.2,10727453.0,20.1,8567301.0
55,BELGRANO VIII,2026-04-20,20,30,10,66.7,12,12467,16490,351243981.28,165684642.79,157593766.76,183.0,234.0,5214668.58,3187041.24,1622760.5,10.0,1519891.67,11.0,5214668.58,183.0,234.0,11:59:41,ACTIVA,9255762.89,344.0,387.0,28067611.419999998,960.0,-43.7,14610187.0,35.7,9395518.0
56,CABALLITO IV,2026-04-20,20,30,10,66.7,12,31322,39659,673608388.7,208115013.34,448096200.04,373.0,444.0,5574403.12,1062433.56,4108691.05,11.0,2357058.64,11.0,5574403.12,373.0,444.0,11:58:37,ACTIVA,11559553.85,523.0,599.0,44886240.68,1871.0,-51.8,23063648.0,24.2,17489245.0
58,VILLA LURO,2026-04-20,20,30,10,66.7,12,16403,20735,364863772.0,146064988.51,201139507.06,273.0,380.0,4635815.13,1616845.22,2611074.19,11.0,1827893.66,11.0,4635815.13,273.0,380.0,11:58:49,ACTIVA,12169344.3,412.0,538.0,30317005.76,1268.0,-61.9,13427711.0,34.5,8791896.0
59,PALERMO III,2026-04-20,20,30,10,66.7,12,9735,11415,208502144.53,68225873.98,127255737.34,109.0,119.0,2765458.74,1031882.34,1427091.61,11.0,916164.63,11.0,2765458.74,109.0,119.0,11:57:50,ACTIVA,5651912.95,182.0,186.0,16846726.580000002,709.0,-51.1,8405652.0,32.9,5640193.0
